variedad
SKYLER SPLASH WHITE
VINCENTS CHOICE
GOLDEN GLORY YELLOW
SUNRICH GOLD
SKYLER SPLASH PINK
SKYLER SPLASH BLUE
SKYLER PINK
BABY BLUE
MAGICAL ROYAL PRINCESS
MAGICAL CHERRY
MAGICAL SNOW PRINCE
MAGICAL RENATA GREEN
MAGICAL MAJESTIC PINK
MAGICAL RED WINE
MAGICAL TRIUMPH
MAGICAL CREAM
SKYLER WHITE IMPROVED
SKYLER BLUE
RED SEWEL
ROYAL RED
17091
19114-01
19089-11
20105-03
20099-04
17020-91
18039-12
17079-12
17020-91
17088-52
COD-S/N
18125-03
17079-11
18125-03
VICIA-AVENA
MOSTAZA CALIENTE
H19088-03
H20105-03
H20-9-11
H21-12-4
H21-117-1
H20-13-7
H21-67-3
H21-68-7
H21-13-2
H20-9-21
H20-14-7
H12-117-1
UNICORN
COD-488
ROMANTIC GLORY
H2
H10
PRIMAVERA
LIZ
GUNNII
XLENCE
PARVIFOLIA
